Handle,Title,ID,Variant ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Image,product_link,color_code
4216308,RIBBED TEXTURED SWEATER,7654906265679,42340551229519,Color,camel,Size,S,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308704-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212486&v2=2432249,704
4216308,,7654906265679,42340551262287,,camel,,M,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308704-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212486&v2=2432249,704
4216308,,7654906265679,42340551295055,,camel,,XL,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308704-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212486&v2=2432249,704
4216308,,7654906265679,42340551327823,,Ecru,,S,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308712-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212485&v2=2432249,712
4216308,,7654906265679,42340551360591,,Ecru,,M,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308712-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212485&v2=2432249,712
4216308,,7654906265679,42340551393359,,Ecru,,L,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308712-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212485&v2=2432249,712
4216308,,7654906265679,42340551426127,,Ecru,,XL,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308712-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212485&v2=2432249,712
4216308,,7654906265679,42340551458895,,Dark navy,,S,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308422-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212484&v2=2432249,422
4216308,,7654906265679,42340551491663,,Dark navy,,M,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308422-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212484&v2=2432249,422
4216308,,7654906265679,42340551524431,,Dark navy,,L,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308422-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212484&v2=2432249,422
4216308,,7654906265679,42340551557199,,Dark navy,,XL,4350.0,4350.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216308422-p.jpg?v=1734181368,https://www.zara.com/in/en/ribbed-textured-sweater-p04216308.html?v1=381212484&v2=2432249,422
4216306,ZIP HIGH NECK SWEATER,7654906232911,42340551163983,Color,Ecru,Size,M,4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216306712-p.jpg?v=1734181354,https://www.zara.com/in/en/zip-high-neck-sweater-p04216306.html?v1=379303573&v2=2432244,712
4216306,,7654906232911,42340551196751,,Ecru,,XL,4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216306712-p.jpg?v=1734181354,https://www.zara.com/in/en/zip-high-neck-sweater-p04216306.html?v1=379303573&v2=2432244,712
4216305,WOOL CARDIGAN,7654906200143,42340551131215,Color,Light blue,Size,M,4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216305406-p.jpg?v=1734181349,https://www.zara.com/in/en/wool-cardigan-p04216305.html?v1=379104181&v2=2432243,406
4166400,SLIM FIT FLUID SHIRT,7654906167375,42340551000143,Color,White,Size,S,4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04166400250-a1.jpg?v=1734181349,https://www.zara.com/in/en/slim-fit-fluid-shirt-p04166400.html?v1=404770024&v2=2431987,250
4166400,,7654906167375,42340551032911,,White,,M,4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04166400250-a1.jpg?v=1734181349,https://www.zara.com/in/en/slim-fit-fluid-shirt-p04166400.html?v1=404770024&v2=2431987,250
4166400,,7654906167375,42340551065679,,White,,L,4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04166400250-a1.jpg?v=1734181349,https://www.zara.com/in/en/slim-fit-fluid-shirt-p04166400.html?v1=404770024&v2=2431987,250
4166400,,7654906167375,42340551098447,,White,,XL,4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04166400250-a1.jpg?v=1734181349,https://www.zara.com/in/en/slim-fit-fluid-shirt-p04166400.html?v1=404770024&v2=2431987,250
4201570,TEXTURED STRETCH SHIRT,7654906134607,42340550869071,Color,White,Size,S,3550.0,3550.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04201570250-p.jpg?v=1734181353,https://www.zara.com/in/en/textured-stretch-shirt-p04201570.html?v1=368527509&v2=2431987,250
